feature_id	bikelane_length_km	mway_length_km	roads_km	slope	sndi	wt_density	density	pop	sndi_cars	sndi_difference
0x39744a072346b4d1:0x3c3237e5e6fd96e2	0.0	0.0	174.91	0.7615194701525491	4.014934093370231	25859.66439427067	11256.054658584297	236377.14783027023	4.10729342136541	0.09235932799517954
0x3ba7e81448e19b49:0x6c702d5919429746	0.0	0.0	157.784	5.221022073225638	7.373471946582233	4503.444586107129	1625.4010714384494	52012.83428603038	7.381894653792486	0.008422707210252511
0x10f94ad1e2b473d9:0xd5676e664fd9dbb3	0.0	0.0	69.048	3.3018970142009287	3.4334593197421146	18357.06535370076	7384.074875667978	95992.97338368373	3.432293524114538	-0.0011657956275765713
0x716bc4664f79dcd:0xa2750b2cba29fb80	0.0	0.0	419.448	2.870423074776442	2.42441481106916	6072.519180560336	4189.112960148453	129862.50176460204	2.7184212388186566	0.2940064277494967
0x375657006ccb7b0d:0x744565b5ca1621b3	0.0	0.0	43.203	0.3670800730793012	4.466248441172796	12416.539721550278	8189.317022671302	49135.90213602781	4.465637480157988	-0.0006109610148081757
0x2e70b07276c36399:0xc2127cb11580e4a4	0.0	0.0	117.283	0.4128882450136271	3.008510656476392	16415.654714600663	14029.749140670896	70148.74570335448	3.035738207667761	0.02722755119136888
0x39f6a30f2b35bfe7:0xe845a84ac7861f6d	0.0	0.0	25.682	1.6800302388329131	3.9024649808059495	3103.039877917763	1390.0875571881022	9730.612900316715	3.917304515914001	0.014839535108051471
0x33afb55471e75f29:0xd72671c55a144018	0.0	0.0	129.737	13.310103711494069	6.910612435596896	1332.6648651219214	309.57917326223105	42102.76756366342	7.01288573077235	0.10227329517545414
0x39e5884e96a2f6df:0x5cebfdc6c42664f7	0.0	0.0	209.044	0.906476850333539	3.5112147622355563	2016.8961185933056	1155.419479792536	58926.39346941933	4.441859575800161	0.930644813564605
0x3254851feb198a0b:0xd9a902662f6f39e	0.0	0.0	177.597	15.071681369758425	8.250271939826787	861.652860475432	285.36153471221525	46228.56862337887	8.318559447481732	0.0682875076549454
