,feature_id,contained
130,0x1044e87d972d23d3:0x9c5e49d6a945a261,False
131,0x104537e3c7d4c785:0x70f0238091d155f3,False
132,0x1045ca0ce584d70f:0xc04d9f084998deb8,False
133,0x1045eb8c60bd2781:0x5d8ae2c9c38a5374,False
134,0x10460ffdf57bf6d7:0x4761884fa4fffc1c,False
135,0x10463304e4a9318d:0x17c2bd9f3b63ab2,False
136,0x10469529f1906d21:0x2e1a14fcd2c6ad47,False
137,0x10469f536771ea43:0x8dadf3bbebf3f251,False
138,0x10478bb6c3747cc9:0xb93196da87be7dd,False
139,0x10478f90695c5dfb:0xe0a5d2bbf32a9161,False
140,0x1047edffa9d3a435:0xca0ec8a99a8db6ba,False
141,0x1047f834e65b4ee1:0xe8b8cfe895b6eb7b,False
142,0x1047fad09891a07d:0xf38552cbf4615400,False
143,0x104801c4ec62c5cf:0x890530fb58be04d9,False
144,0x1048445797f11ccf:0xae0dcf4c5b135659,False
145,0x1048a1f8f18a3e75:0xc63f13c5c43fe25f,False
146,0x10496115f371dbbd:0xb1df0e27ad8fc8e4,False
147,0x104c71b71a3836ef:0x6d6e07057bc60d5b,False
148,0x104d355834371775:0x480195979abfe174,False
149,0x104dd2332f19f1dd:0xbf4612a6290c9f33,True
150,0x104ddcdb16cf67f9:0x213746f658ebf322,False
151,0x104ddde9d782ef01:0x97351598a1ccd07c,False
152,0x104e788c150ef131:0x275094886481372b,False
153,0x104e87e150f867e7:0x21d8ed724151c62c,False
154,0x1050805458317acf:0x1acb339fc3ba1a3b,False
155,0x105106dbcff1e50d:0x87a584b6191ed91d,False
156,0x10524e06d9207171:0x7009419ae4a4c8cc,False
157,0x1053724e68ec1c83:0x21ebe700fbd5381d,False
158,0x10542eb35a32f9e1:0x25dc9f65569d9d46,False
159,0x1054d71144a4d5f9:0x565b6cd25e135fad,False
160,0x105770efb4e0504f:0xb944867ca81915a2,False
161,0x105849581566b201:0x65e74fc4243bd3d,False
162,0x105985f05bb46703:0x62ed5d2c3acc501f,False
163,0x1059dcc9035b3f27:0x76e0949f81f33dcf,False
164,0x105a3d391e3dd453:0x668447cdbf830d29,False
165,0x105a7f696a51f323:0xbb114c8ba04c6b13,False
166,0x105ae800e73f5a57:0x9f69c8e5c5544140,False
167,0x105bc17e79dc3645:0x640df71ae731a5e8,False
168,0x105bdfda68b69159:0x7d170f021ed68e1a,False
169,0x105ca0692143e095:0xe38f8845a6d5a3ae,False
170,0x105cdcefd5a17693:0x5ce817ce02df9565,False
171,0x105d57c1f8da6a51:0xe71e33ab2276d451,False
172,0x1067862eeaabcc29:0xa2b8722fb5b0b458,False
173,0x106791a69f759fed:0x40a8ecabdfbc9f07,False
174,0x1067e34eab6dce63:0x9b6675b0f04c2154,False
175,0x1067ffd8129f0a6b:0x217db4d801d439d4,False
176,0x10682d0888247069:0x3681474475b8171d,False
177,0x106835b4749c4371:0x324fc3f1f8f71cd2,False
178,0x106853f508b8b58d:0xa5ade10399e88496,False
179,0x10686e50e367b69d:0x357eea0a14c32e46,False
180,0x1069c6de036b1cf5:0xfbf9575aadc7f29f,False
181,0x1069cea39f2c48e3:0x53562bdd7d8832db,False
182,0x106a0159df35c899:0xcf431ce3aa64fb4,False
183,0x106a05ae73ea9eb5:0x82068df917c44c9,False
184,0x10f929bf666f0361:0x170fd6ab95cdeb1,False
185,0x10f92a403255f865:0x5d20d9f8ae02e0cf,False
186,0x10f94ad1e2b473d9:0xd5676e664fd9dbb3,False
187,0x10fc6b18c095f867:0x364e5ad30d282fdd,False
188,0x10fc6b61b99ecf89:0xec813b40178416c7,False
189,0x10fd5ead9d687fd5:0x5f987bae80d22262,False
190,0x10fe9c516a673127:0x48827b16aa22bd79,False
191,0x10ffac969a5bf2bb:0x48aa2bbcf8901366,False
192,0x10ffae264c4e9f3d:0x8fab676a22c433d,False
193,0x10ffd064e67aba0f:0x4c72d9e7299289ef,False
194,0x1100c8d2bf025359:0xb6a2adcf7c8d3086,False
195,0x1101b4025c3eb5e3:0xf494ace659798ab8,False
196,0x11021ae13f7652eb:0xb49962fcacf1b117,False
197,0x11049f4b9b52795b:0x63933a66a7b20361,False
198,0x1107be9401900647:0x5fd0500aaaab6640,False
199,0x111b016fd59eef47:0xe67e985a9194b167,False
200,0x111cd71735754f81:0x16e3d828c0050167,False
201,0x11a82345348f3213:0xcb8058e7455bff79,False
202,0x11a92790fcb883ed:0x8ff496814974d2f9,False
203,0x11a9660a6e2275bb:0x77bb475b4cbdd32b,False
204,0x11a9af9a05461f77:0xca66fb02f59c44ec,False
205,0x11aa3c93bd9c2d1b:0x3b977e93878d21b7,False
206,0x11aa7a935126e93f:0xc380c8af1e2e86a1,False
207,0x11aa8fc51b13b45d:0x4abbd830e1430d00,False
208,0x11ab96bd33084829:0xbe7b12f7582ee116,False
209,0x11ac2eb7f754329d:0x525ce2fcd7cffb63,False
210,0x11add27837e8b59d:0x52f9eca433919aef,False
211,0x11ae6938f6429da5:0xce872203a554c165,False
212,0x11ae7cf8e7278e3f:0x691e8c037afbdb2b,False
213,0x11ae80eff0fff3f1:0x85ff8700a3da54eb,False
214,0x11aeb2df92e62817:0x7bea88b2cfaf7662,False
215,0x11aef6463d814ee3:0x1fccfda05b992adc,False
216,0x11afa2ae74a39b35:0xaef6760005721d5c,False
217,0x11aface91ca58c03:0x5441a09ac4fdce86,False
218,0x11afdcc820e716f7:0x8ae29f4367be7117,False
219,0x11b03cb5fdb5668f:0xc0fb3ba267ca67e0,False
220,0x11b12582f3460649:0x4e87a3091340ec72,False
221,0x11b143514ddead5b:0x52d8f3793a2fef6c,False
222,0x11b2055624620779:0x8c3505878d5d9883,False
223,0x11b246817d95f177:0x89d46e000371cdcd,False
224,0x11b2834113229945:0x9aa0005bd6764276,False
225,0x11b2b659aa9901d5:0x42ee4b708aa70d87,False
